,09:29:00,24/12/15
,09:30:00,25/12/15
,09:31:00,26/12/15
,09:32:00,27/12/15
,09:33:00,28/12/15
,09:34:00,29/12/15
,09:35:00,30/12/15
,09:36:00,31/12/15
,09:37:00,01/01/16
,09:38:00,02/01/16
,09:39:00,03/01/16
,09:40:00,04/01/16
,09:41:00,05/01/16
,09:42:00,06/01/16
,09:43:00,07/01/16
,09:44:00,08/01/16
,09:45:00,09/01/16
,09:46:00,10/01/16
,09:47:00,11/01/16
,09:48:00,12/01/16
,09:49:00,13/01/16
,09:50:00,14/01/16
,09:51:00,15/01/16
,09:52:00,16/01/16
,09:53:00,17/01/16
,09:54:00,18/01/16
,09:55:00,19/01/16
,09:56:00,20/01/16
,09:57:00,21/01/16
,09:58:00,22/01/16
,09:59:00,23/01/16
,10:00:00,24/01/16
,10:01:00,25/01/16
,10:02:00,26/01/16
,10:03:00,27/01/16
,10:04:00,28/01/16
,10:05:00,29/01/16
,10:06:00,30/01/16
,10:07:00,31/01/16
,10:08:00,01/02/16
,10:09:00,02/02/16
,10:10:00,03/02/16
,10:11:00,04/02/16
,10:12:00,05/02/16
,10:13:00,06/02/16
,10:14:00,07/02/16
,10:15:00,08/02/16
,10:16:00,09/02/16
,10:17:00,10/02/16
,10:18:00,11/02/16
,10:19:00,12/02/16
,10:20:00,13/02/16
,10:21:00,14/02/16
,10:22:00,15/02/16
,10:23:00,16/02/16
,10:24:00,17/02/16
,10:25:00,18/02/16
,10:26:00,19/02/16
,10:27:00,20/02/16
,10:28:00,21/02/16
,10:29:00,22/02/16
,10:30:00,23/02/16
,10:31:00,24/02/16
,10:32:00,25/02/16
,10:33:00,26/02/16
,10:34:00,27/02/16
,10:35:00,28/02/16
,10:36:00,29/02/16
,10:37:00,01/03/16
,10:38:00,02/03/16
,10:39:00,03/03/16
,10:40:00,04/03/16
,10:41:00,05/03/16
,10:42:00,06/03/16
,10:43:00,07/03/16
,10:44:00,08/03/16
,10:45:00,09/03/16
,10:46:00,10/03/16
,10:47:00,11/03/16
,10:48:00,12/03/16
,10:49:00,13/03/16
,10:50:00,14/03/16
,10:51:00,15/03/16
,10:52:00,16/03/16
,10:53:00,17/03/16
,10:54:00,18/03/16
,10:55:00,19/03/16
,10:56:00,20/03/16
,10:57:00,21/03/16
,10:58:00,22/03/16
,10:59:00,23/03/16
,11:00:00,24/03/16
,11:01:00,25/03/16
,11:02:00,26/03/16
,11:03:00,27/03/16
,11:04:00,28/03/16
,11:05:00,29/03/16
,11:06:00,30/03/16
,11:07:00,31/03/16
,11:08:00,01/04/16
,11:09:00,02/04/16
,11:10:00,03/04/16
,11:11:00,04/04/16
,11:12:00,05/04/16
,11:13:00,06/04/16
,11:14:00,07/04/16
,11:15:00,08/04/16
